Date,Review Text,label,cleansing,baku,stopwords,stemming
2026-03-16 16:41:39,"aneh memang Di Refresh Sekali masih ada Saat di Klik lagi tanggalnya Malah Gak ada Jadwal perjalanannya Kok,makin Gak jelas Aplikasinyaaa perbaiki Lagi BugNya.. beda sama di aplikasi pihak ke3 Di tanggal yg di Maksud,,,, All Available..",1,aneh memang di refresh sekali masih ada saat di klik lagi tanggalnya malah gak ada jadwal perjalanannya kok makin gak jelas aplikasinyaaa perbaiki lagi bugnya beda sama di aplikasi pihak ke di tanggal yg di maksud all available,aneh memang di refresh sekali masih ada saat di klik lagi tanggalnya malah tidak ada jadwal perjalanannya mengapa makin tidak jelas aplikasinyaaa perbaiki lagi bug beda sama di aplikasi pihak ke di tanggal yang di maksud all available,aneh refresh klik tanggalnya tidak jadwal perjalanannya tidak aplikasinyaaa perbaiki bug beda aplikasi tanggal maksud all available,aneh refresh klik tanggal tidak jadwal jalan tidak aplikasinyaaa baik bug beda aplikasi tanggal maksud all available
2026-03-16 16:22:40,kalo jadwal commuter line ga sesuai sama actuallnya ya gausah bikin jadwal commuter line kocag!!! contohnya jadwal trakhir tanah abang ke rangkas bitung pukul 23.00 tpi actualnnya kereta trakhir pukul 22.45 !!!,1,kalo jadwal commuter line ga sesuai sama actuallnya ya gausah bikin jadwal commuter line kocag contohnya jadwal trakhir tanah abang ke rangkas bitung pukul tpi actualnnya kereta trakhir pukul,kalau jadwal komuter line tidak sesuai sama actuallnya iya gausah buat jadwal komuter line aneh contohnya jadwal trakhir tanah abang ke rangkas bitung pukul tetapi actualnnya kereta trakhir pukul,jadwal komuter line tidak sesuai actuallnya iya gausah jadwal komuter line aneh contohnya jadwal trakhir tanah abang rangkas bitung actualnnya kereta trakhir,jadwal komuter line tidak sesuai actuallnya iya gausah jadwal komuter line aneh contoh jadwal trakhir tanah abang rangkas bitung actualnnya kereta trakhir
2026-03-16 14:29:31,pertama kali daftar sudah amat tapi Alhamdulillah bisa juga,0,pertama kali daftar sudah amat tapi alhamdulillah bisa juga,pertama kali daftar sudah amat tapi alhamdulillah bisa juga,kali daftar alhamdulillah bisa,kali daftar alhamdulillah bisa
2026-03-16 14:04:58,aplikasi lancar tanpa terkendalah semoga maju terus PT KAI,0,aplikasi lancar tanpa terkendalah semoga maju terus pt kai,aplikasi lancar tanpa terkendalah semoga maju terus pt kai,aplikasi lancar terkendalah semoga maju pt kai,aplikasi lancar terkendalah moga maju pt kai
2026-03-16 13:16:52,RIBET BANGET KAI REFUND TIKET AJA NAMA HARUS SAMA SEPERTI NAMA TIKET UDAH TAU MAU RETUR TIKET KELUARGA DIKIRA BOCIL 1 TAHUN UDH PUNYA NO REKENING🗿😭😭😭,0,ribet banget kai refund tiket aja nama harus sama seperti nama tiket udah tau mau retur tiket keluarga dikira bocil tahun udh punya no rekening,ribet sekali kai refund tiket saja nama harus sama seperti nama tiket sudah tau mau refund tiket keluarga dikira anak kecil tahun sudah punya no rekening,ribet kai refund tiket nama nama tiket tau refund tiket keluarga anak no rekening,ribet kai refund tiket nama nama tiket tau refund tiket keluarga anak no rekening
2026-03-16 13:07:25,"apk nyusahin untuk refund dana, mana pake bank. udh di coba malah "" account not found "" padahal ada. udh bener kemarin ada refund dana pake e wallet malah nyusahin harus pake bank.",1,apk nyusahin untuk refund dana mana pake bank udh di coba malah account not found padahal ada udh bener kemarin ada refund dana pake e wallet malah nyusahin harus pake bank,aplikasi menyusahkan untuk refund dana mana pakai bank sudah di coba malah account not found padahal ada sudah benar kemarin ada refund dana pakai e wallet malah menyusahkan harus pakai bank,aplikasi menyusahkan refund dana pakai bank coba account not found kemarin refund dana pakai e wallet menyusahkan pakai bank,aplikasi susah refund dana pakai bank coba account not found kemarin refund dana pakai e wallet susah pakai bank
2026-03-16 12:59:18,pemesanannya sangat mudah dan jelas,0,pemesanannya sangat mudah dan jelas,pemesanannya sangat mudah dan jelas,pemesanannya mudah,mesan mudah
2026-03-16 12:14:31,"gak bisa dibuka, error terus",1,gak bisa dibuka error terus,tidak bisa dibuka error terus,tidak bisa dibuka error,tidak bisa buka error
2026-03-16 11:15:26,"layanan call center gratis via wa gak ada gunanya dan pemahaman ttg knowledge cs buruk sekali,kita disuruh menunggu sampe 5 menit tpi bgtu tersambung langsung putus.dan gak ada sikap utk telfon balik,padahal di awal menyebutkan nama dan no wa.. makain jelek dan buruk pelayanannya,sekelas BUMN services sangat jelek.Apakah bisa diperbaiki hal2 seperti ini.. pesanan tiket yt berhasil sekarang gak ada notifikasi yg dikirim ke email.hanya ada di aplikasi.apa gak pernah sadar jika applikasi down gmna?",1,layanan call center gratis via wa gak ada gunanya dan pemahaman ttg knowledge cs buruk sekali kita disuruh menunggu sampe menit tpi bgtu tersambung langsung putus dan gak ada sikap utk telfon balik padahal di awal menyebutkan nama dan no wa makain jelek dan buruk pelayanannya sekelas bumn services sangat jelek apakah bisa diperbaiki hal seperti ini pesanan tiket yt berhasil sekarang gak ada notifikasi yg dikirim ke email hanya ada di aplikasi apa gak pernah sadar jika applikasi down gmna,layanan call center gratis via wa tidak ada gunanya dan pemahaman ttg knowledge cs buruk sekali kita disuruh menunggu sampai menit tetapi begitu tersambung langsung putus dan tidak ada sikap untuk telfon balik padahal di awal menyebutkan nama dan no wa makain jelek dan buruk pelayanannya sekelas bumn services sangat jelek apakah bisa diperbaiki hal seperti ini pesanan tiket yt berhasil sekarang tidak ada notifikasi yang dikirim ke email hanya ada di aplikasi apa tidak pernah sadar jika applikasi error bagaimana,layanan call center gratis via wa tidak gunanya pemahaman ttg knowledge cs buruk disuruh menunggu menit tersambung langsung putus tidak sikap telfon nama no wa makain jelek buruk pelayanannya sekelas bumn services jelek bisa diperbaiki pesanan tiket yt berhasil tidak notifikasi dikirim email aplikasi tidak sadar applikasi error,layan call center gratis via wa tidak guna paham ttg knowledge cs buruk suruh tunggu menit sambung langsung putus tidak sikap telfon nama no wa makain jelek buruk layan kelas bumn services jelek bisa baik pesan tiket yt hasil tidak notifikasi kirim email aplikasi tidak sadar applikasi error
2026-03-16 10:35:19,sering bug aplikasinya,1,sering bug aplikasinya,sering bug aplikasinya,bug aplikasinya,bug aplikasi
2026-03-16 08:47:34,"sangat cepat penanganan, aplikasi sangat membantu",0,sangat cepat penanganan aplikasi sangat membantu,sangat cepat penanganan aplikasi sangat membantu,cepat penanganan aplikasi membantu,cepat tangan aplikasi bantu
2026-03-16 08:46:54,bisa Lihat peta KRL Dan LRT Jabodetabek/Jabodebek,0,bisa lihat peta krl dan lrt jabodetabek jabodebek,bisa lihat peta komuter dan lrt jabodetabek jabodebek,bisa lihat peta komuter lrt jabodetabek jabodebek,bisa lihat peta komuter lrt jabodetabek jabodebek
2026-03-16 08:10:36,"apk gk jlass, masa iya gk bsa pembayaran pakai e-wallet",0,apk gk jlass masa iya gk bsa pembayaran pakai e wallet,aplikasi tidak jlass masa iya tidak bsa pembayaran pakai e wallet,aplikasi tidak jlass iya tidak bsa pembayaran pakai e wallet,aplikasi tidak jlass iya tidak bsa bayar pakai e wallet
2026-03-16 03:07:40,"baru kali ini beli tapi kecewa ,udah war dari jam 00 buat tiket kereta hari raya ehh mlh uang udah kepotong di atm tapi tiket ga dapet karna pembayaran blm masuk .udah lapor ke bank nya katanya gara"" kai nya tiba"" ganti pake bank yg beda buat pembayaran sampek sekarang ga ada kejelasan masih nunggu uang kembali",1,baru kali ini beli tapi kecewa udah war dari jam buat tiket kereta hari raya ehh mlh uang udah kepotong di atm tapi tiket ga dapet karna pembayaran blm masuk udah lapor ke bank nya katanya gara kai nya tiba ganti pake bank yg beda buat pembayaran sampek sekarang ga ada kejelasan masih nunggu uang kembali,baru kali ini beli tapi kecewa sudah rebutan dari jam untuk tiket kereta hari raya ehh mlh uang sudah kepotong di atm tapi tiket tidak dapat karena pembayaran belum masuk sudah lapor ke bank nya katanya gara kai nya tiba ganti pakai bank yang beda untuk pembayaran sampek sekarang tidak ada kejelasan masih nunggu uang kembali,baru kali beli kecewa rebutan jam tiket kereta raya ehh mlh uang kepotong atm tiket tidak pembayaran belum masuk lapor bank gara kai ganti pakai bank beda pembayaran sampek tidak kejelasan nunggu uang,baru kali beli kecewa rebut jam tiket kereta raya ehh mlh uang potong atm tiket tidak bayar belum masuk lapor bank gara kai ganti pakai bank beda bayar sampek tidak jelas nunggu uang
2026-03-16 03:07:21,"ga bisa ganti metode pembayaran,dibatalin ga bisa hrs nunggu waktu habis",0,ga bisa ganti metode pembayaran dibatalin ga bisa hrs nunggu waktu habis,tidak bisa ganti metode pembayaran dibatalin tidak bisa harus nunggu waktu habis,tidak bisa ganti metode pembayaran dibatalin tidak bisa nunggu habis,tidak bisa ganti metode bayar dibatalin tidak bisa nunggu habis
2026-03-16 01:14:44,"commuter line Dhoho lewat Kertosono tambahin lah, masa pesen tiket jam 00:00 ga sampe 5menit udah habiiss semua. atau tambahin yang bisnis. rutenya jauh loh padahal masa ga ada klas bisnisnya",1,commuter line dhoho lewat kertosono tambahin lah masa pesen tiket jam ga sampe menit udah habiiss semua atau tambahin yang bisnis rutenya jauh loh padahal masa ga ada klas bisnisnya,komuter line dhoho lewat kertosono tambahin lah masa pesan tiket jam tidak sampai menit sudah habiiss semua atau tambahin yang bisnis rutenya jauh loh padahal masa tidak ada klas bisnisnya,komuter line dhoho kertosono tambahin pesan tiket jam tidak menit habiiss tambahin bisnis rutenya loh tidak klas bisnisnya,komuter line dhoho kertosono tambahin pesan tiket jam tidak menit habiiss tambahin bisnis rute loh tidak klas bisnis
2026-03-16 00:28:17,simple dan lengkap aplikasinya. The best,0,simple dan lengkap aplikasinya the best,simple dan lengkap aplikasinya the bagus,simple lengkap aplikasinya the bagus,simple lengkap aplikasi the bagus
2026-03-16 00:16:08,aplikasi GJ sering eror udh nunggu tiket dari sebulan sebelumnya tau2 udh habis pdhl di pantengin tiap hari malah fokus ngasih ke calo kalau ga niat jual tiket mending hapus aja aplikasinya ngapain bikin aplikasi kalau ujung2nya banyak di kasi ke calo,1,aplikasi gj sering eror udh nunggu tiket dari sebulan sebelumnya tau udh habis pdhl di pantengin tiap hari malah fokus ngasih ke calo kalau ga niat jual tiket mending hapus aja aplikasinya ngapain bikin aplikasi kalau ujung nya banyak di kasi ke calo,aplikasi gj sering error sudah nunggu tiket dari sebulan sebelumnya tau sudah habis padahal di pantengin setiap hari malah fokus memberi ke calo kalau tidak niat jual tiket mending hapus saja aplikasinya kenapa buat aplikasi kalau ujung nya banyak di kasi ke calo,aplikasi gj error nunggu tiket sebulan tau habis pantengin fokus calo tidak niat jual tiket mending hapus aplikasinya aplikasi ujung kasi calo,aplikasi gj error nunggu tiket bulan tau habis pantengin fokus calo tidak niat jual tiket mending hapus aplikasi aplikasi ujung kasi calo
2026-03-15 19:56:37,"sekarang susah liat sisa kursi atau cek ketersediaan jadwal kereta, kosong pas di cek.. padahal lagi bener bener mau mantauin buat mudik 🥲",1,sekarang susah liat sisa kursi atau cek ketersediaan jadwal kereta kosong pas di cek padahal lagi bener bener mau mantauin buat mudik,sekarang susah liat sisa kursi atau cek ketersediaan jadwal kereta kosong pas di cek padahal lagi benar benar mau mantauin untuk mudik,susah liat sisa kursi cek ketersediaan jadwal kereta kosong pas cek mantauin mudik,susah liat sisa kursi cek sedia jadwal kereta kosong pas cek mantauin mudik
2026-03-15 19:22:49,Tiket tidak Transparan.,0,tiket tidak transparan,tiket tidak transparan,tiket tidak transparan,tiket tidak transparan
2026-03-15 18:59:42,"Pliss tambah fitur aktifkan notifikasi tunggu tiket tujuan yang ingin dibeli yang sudah habis sudah tersedia kembali kalo ada orang yang tiba"" cancel, kalo udah ada fiturnya aku tambah jadi bintang 5 🙏🙏",0,pliss tambah fitur aktifkan notifikasi tunggu tiket tujuan yang ingin dibeli yang sudah habis sudah tersedia kembali kalo ada orang yang tiba cancel kalo udah ada fiturnya aku tambah jadi bintang,pliss tambah fitur aktifkan notifikasi tunggu tiket tujuan yang ingin dibeli yang sudah habis sudah tersedia kembali kalau ada orang yang tiba cancel kalau sudah ada fiturnya aku tambah jadi bintang,pliss fitur aktifkan notifikasi tunggu tiket tujuan dibeli habis tersedia orang cancel fiturnya bintang,pliss fitur aktif notifikasi tunggu tiket tuju beli habis sedia orang cancel fiturnya bintang
2026-03-15 18:01:04,"KAI Acces tidak siap buat pesanan awal hari, diatas jam 00:05 aplikasi hang",1,kai acces tidak siap buat pesanan awal hari diatas jam aplikasi hang,kai acces tidak siap untuk pesanan awal hari diatas jam aplikasi hang,kai acces tidak pesanan diatas jam aplikasi hang,kai acces tidak pesan atas jam aplikasi hang
2026-03-15 17:48:16,"apk rusak giliran war tiket invalid server, waktu bisa beli jadwal dan tiket sudah hbis, gk jls banget",1,apk rusak giliran war tiket invalid server waktu bisa beli jadwal dan tiket sudah hbis gk jls banget,aplikasi rusak giliran rebutan tiket tidak valid server waktu bisa beli jadwal dan tiket sudah hbis tidak jelas sekali,aplikasi rusak giliran rebutan tiket tidak valid server bisa beli jadwal tiket hbis tidak,aplikasi rusak gilir rebut tiket tidak valid server bisa beli jadwal tiket hbis tidak
2026-03-15 17:47:38,"Entah HP aku yg kurang bagus atau aplikasi nya karna setiap beli tiket lokal bela""in bangun tengah malam tetep gak bisa dapet tiket selalu muncul no aset available atau gak eror kenapa ya",1,entah hp aku yg kurang bagus atau aplikasi nya karna setiap beli tiket lokal bela in bangun tengah malam tetep gak bisa dapet tiket selalu muncul no aset available atau gak eror kenapa ya,entah handphone aku yang kurang bagus atau aplikasi nya karena setiap beli tiket lokal bela in bangun tengah malam tetap tidak bisa dapat tiket selalu muncul no aset available atau tidak error kenapa iya,handphone kurang bagus aplikasi beli tiket lokal bela in bangun malam tidak bisa tiket muncul no aset available tidak error iya,handphone kurang bagus aplikasi beli tiket lokal bela in bangun malam tidak bisa tiket muncul no aset available tidak error iya
2026-03-15 17:44:30,APK GAJELASS!!! KALO UDAH TAU YG LOKAL TUH BANYAK YG NYARI DITAMBAH JADWALNYA ATAU GERBONGNYA!!! UDAH WAR JAM 00:00 MALAH LOADING DOANG!! PAS DITANYA CS NYA MALAH SURUH NUNGGU 1 JAM KEDEPAN!!! YA GAK DAPET TIKET DONG DONGO!!! PERCUMA GW BANGUN JAM SEGITU WAR TIKET!!! AANJENG!!!,1,apk gajelass kalo udah tau yg lokal tuh banyak yg nyari ditambah jadwalnya atau gerbongnya udah war jam malah loading doang pas ditanya cs nya malah suruh nunggu jam kedepan ya gak dapet tiket dong dongo percuma gw bangun jam segitu war tiket aanjeng,aplikasi gajelass kalau sudah tau yang lokal tuh banyak yang cari ditambah jadwalnya atau gerbongnya sudah rebutan jam malah loading doang pas ditanya cs nya malah suruh nunggu jam kedepan iya tidak dapat tiket dong bodoh percuma saya bangun jam segitu rebutan tiket aanjeng,aplikasi gajelass tau lokal tuh cari ditambah jadwalnya gerbongnya rebutan jam loading doang pas cs suruh nunggu jam kedepan iya tidak tiket bodoh bangun jam segitu rebutan tiket aanjeng,aplikasi gajelass tau lokal tuh cari tambah jadwal gerbong rebut jam loading doang pas cs suruh nunggu jam depan iya tidak tiket bodoh bangun jam segitu rebut tiket aanjeng
2026-03-15 17:39:22,sangat sulit buat pean tiket,0,sangat sulit buat pean tiket,sangat sulit untuk pean tiket,sulit pean tiket,sulit pean tiket
2026-03-15 17:28:45,"sngat lemot .aplikasi mkin lama mkin susah bgt.mkin aneh.smpk bela""in g tdr cti tiket mudik mlah error trs.akhrnya g dpt.tba"" selang sejam 01:00 bru bisa kebuka tp sdh hbis.bner"" jgnkel.knpa sih g diberlakukan beli tiket manual aja kyk dlu.",1,sngat lemot aplikasi mkin lama mkin susah bgt mkin aneh smpk bela in g tdr cti tiket mudik mlah error trs akhrnya g dpt tba selang sejam bru bisa kebuka tp sdh hbis bner jgnkel knpa sih g diberlakukan beli tiket manual aja kyk dlu,sngat lambat aplikasi mkin lama mkin susah sangat mkin aneh smpk bela in tidak tdr cti tiket mudik mlah error terus akhrnya tidak dapat tba selang sejam bru bisa kebuka tapi sudah hbis bner jgnkel kenapa sih tidak diberlakukan beli tiket manual saja kyk dlu,sngat lambat aplikasi mkin lama mkin susah mkin aneh smpk bela in tidak tdr cti tiket mudik mlah error akhrnya tidak tba selang sejam bru bisa kebuka hbis bner jgnkel tidak diberlakukan beli tiket manual kyk dlu,sngat lambat aplikasi mkin lama mkin susah mkin aneh smpk bela in tidak tdr cti tiket mudik mlah error akhrnya tidak tba selang jam bru bisa buka hbis bner jgnkel tidak laku beli tiket manual kyk dlu
2026-03-15 17:28:32,sangat buruk susah buat daftar,0,sangat buruk susah buat daftar,sangat buruk susah untuk daftar,buruk susah daftar,buruk susah daftar
2026-03-15 17:22:39,"saya gagal mudik gara gara ini, udah 3 hari udah dua perangkat pesan tiket sama aja zonk.",0,saya gagal mudik gara gara ini udah hari udah dua perangkat pesan tiket sama aja zonk,saya gagal mudik gara gara ini sudah hari sudah dua perangkat pesan tiket sama saja zonk,gagal mudik gara gara perangkat pesan tiket zonk,gagal mudik gara gara perangkat pesan tiket zonk
2026-03-15 17:20:00,"di waktu krusial tiba tiba jadwal kereta tidak tersedia, padahal udah siap siap war... enaknya pakai access karna sudah simpan data penumpang dan bisa langsung pesan pulang pergi,, tapi karna sering down di waktu krusial, terpaksa pesan lewat booking.kai.id yg harus ngetik data pemesan dan tdk bisa pulang pergi.... semoga server ditingkatkan lagi supaya tidak down ketika customer mau war tiket",1,di waktu krusial tiba tiba jadwal kereta tidak tersedia padahal udah siap siap war enaknya pakai access karna sudah simpan data penumpang dan bisa langsung pesan pulang pergi tapi karna sering down di waktu krusial terpaksa pesan lewat booking kai id yg harus ngetik data pemesan dan tdk bisa pulang pergi semoga server ditingkatkan lagi supaya tidak down ketika customer mau war tiket,di waktu krusial tiba tiba jadwal kereta tidak tersedia padahal sudah siap siap rebutan enaknya pakai access karena sudah simpan data penumpang dan bisa langsung pesan pulang pergi tapi karena sering error di waktu krusial terpaksa pesan lewat booking kai id yang harus ngetik data pemesan dan tidak bisa pulang pergi semoga server ditingkatkan lagi supaya tidak error ketika customer mau rebutan tiket,krusial jadwal kereta tidak tersedia rebutan enaknya pakai access simpan data penumpang bisa langsung pesan pulang pergi error krusial terpaksa pesan booking kai id ngetik data pemesan tidak bisa pulang pergi semoga server ditingkatkan tidak error customer rebutan tiket,krusial jadwal kereta tidak sedia rebut enak pakai access simpan data tumpang bisa langsung pesan pulang pergi error krusial paksa pesan booking kai id ngetik data mes tidak bisa pulang pergi moga server tingkat tidak error customer rebut tiket
2026-03-15 17:16:12,"Ni apk klo pilih kursi terus kembali kenapa masuk ke pembayaran, dan harus nunggu 5m pembayaran yg ga ada kode bayarnya woioi",0,ni apk klo pilih kursi terus kembali kenapa masuk ke pembayaran dan harus nunggu m pembayaran yg ga ada kode bayarnya woioi,ni aplikasi kalau pilih kursi terus kembali kenapa masuk ke pembayaran dan harus nunggu m pembayaran yang tidak ada kode bayarnya woioi,ni aplikasi pilih kursi masuk pembayaran nunggu m pembayaran tidak kode bayarnya woioi,ni aplikasi pilih kursi masuk bayar nunggu m bayar tidak kode bayar woioi
2026-03-15 17:14:25,sangaat2 responsif.....,0,sangaat responsif,sangaat responsif,sangaat responsif,sangaat responsif
2026-03-15 17:04:55,"sumpah ni aplikasi tidak berguna, setiap mau pesan tiket gak pernah dapat, banyak calo/mafia jadi sebatas formalitas saja, wkwk konoha2",0,sumpah ni aplikasi tidak berguna setiap mau pesan tiket gak pernah dapat banyak calo mafia jadi sebatas formalitas saja wkwk konoha,sumpah ni aplikasi tidak berguna setiap mau pesan tiket tidak pernah dapat banyak calo mafia jadi sebatas formalitas saja wkwk konoha,sumpah ni aplikasi tidak berguna pesan tiket tidak calo mafia sebatas formalitas wkwk konoha,sumpah ni aplikasi tidak guna pesan tiket tidak calo mafia batas formalitas wkwk konoha
2026-03-15 16:06:58,Kecewa dengan proses refund tiket yang berbelit hanya karena kesalahan nama tanpa spasi,0,kecewa dengan proses refund tiket yang berbelit hanya karena kesalahan nama tanpa spasi,kecewa dengan proses refund tiket yang berbelit hanya karena kesalahan nama tanpa spasi,kecewa proses refund tiket berbelit kesalahan nama spasi,kecewa proses refund tiket belit salah nama spasi
2026-03-15 14:22:02,that simple tidak perlu antri:),0,that simple tidak perlu antri,that simple tidak perlu antri,that simple tidak antri,that simple tidak antri
2026-03-15 14:20:51,sangat membantu jadi permudah kita dalam perjalanan,0,sangat membantu jadi permudah kita dalam perjalanan,sangat membantu jadi permudah kita dalam perjalanan,membantu permudah perjalanan,bantu mudah jalan
2026-03-15 13:59:30,istri saya pesan gagal tapi transaksi pembayaran sdah masuk di akun pembayaran KAI ... bagaimana tanggung jawab KAI.. ???? sdah di chat tapi AI yang jawab dan tidak ada kejelasannya...,0,istri saya pesan gagal tapi transaksi pembayaran sdah masuk di akun pembayaran kai bagaimana tanggung jawab kai sdah di chat tapi ai yang jawab dan tidak ada kejelasannya,istri saya pesan gagal tapi transaksi pembayaran sdah masuk di akun pembayaran kai bagaimana tanggung jawab kai sdah di chat tapi ai yang jawab dan tidak ada kejelasannya,istri pesan gagal transaksi pembayaran sdah masuk akun pembayaran kai tanggung kai sdah chat ai tidak kejelasannya,istri pesan gagal transaksi bayar sdah masuk akun bayar kai tanggung kai sdah chat ai tidak jelas
2026-03-15 13:36:15,"jadwal kereta tidak tersedia. saya lebih suka, semua yang berhubungan dengan publik biar dikelola swasta aja. rakyat cape ngasih tau mulu, yg ga perlu dikasish tau. bare minimum aja ga ngerti2. cape. gumoh. masa beli tiket gini doang eror, kalah sama primajasa sm budiman. ah elah.",1,jadwal kereta tidak tersedia saya lebih suka semua yang berhubungan dengan publik biar dikelola swasta aja rakyat cape ngasih tau mulu yg ga perlu dikasish tau bare minimum aja ga ngerti cape gumoh masa beli tiket gini doang eror kalah sama primajasa sm budiman ah elah,jadwal kereta tidak tersedia saya lebih suka semua yang berhubungan dengan publik agar dikelola swasta saja rakyat capek memberi tau terus yang tidak perlu dikasish tau bare minimum saja tidak ngerti capek gumoh masa beli tiket gini doang error kalah sama primajasa sama budiman ah elah,jadwal kereta tidak tersedia suka berhubungan publik dikelola swasta rakyat capek tau tidak dikasish tau bare minimum tidak ngerti capek gumoh beli tiket gini doang error kalah primajasa budiman ah elah,jadwal kereta tidak sedia suka hubung publik kelola swasta rakyat capek tau tidak dikasish tau bare minimum tidak ngerti capek gumoh beli tiket gin doang error kalah primajasa budiman ah elah
2026-03-15 13:24:26,kok GK bs ya pesan kereta api nya,0,kok gk bs ya pesan kereta api nya,mengapa tidak bisa iya pesan kereta api nya,tidak bisa iya pesan kereta api,tidak bisa iya pesan kereta api
2026-03-15 13:04:40,SUSAH KALI MAU UPGRADE member basic,0,susah kali mau upgrade member basic,susah kali mau pembaruan member basic,susah kali pembaruan member basic,susah kali baru member basic
2026-03-15 12:39:09,"kai kenapa sih, posisi urgent mau pulang malah ga muncul tiketnya, padahal jaringan juga full, gaada kendala apapun",0,kai kenapa sih posisi urgent mau pulang malah ga muncul tiketnya padahal jaringan juga full gaada kendala apapun,kai kenapa sih posisi urgent mau pulang malah tidak muncul tiketnya padahal jaringan juga full gaada kendala apapun,kai posisi urgent pulang tidak muncul tiketnya jaringan full gaada kendala apapun,kai posisi urgent pulang tidak muncul tiket jaring full gaada kendala apa
2026-03-15 11:38:48,"ga jelas, cek tiket lewat web ada jadwal, tapi cek lewat aplikasi malah ga ada jadwal",0,ga jelas cek tiket lewat web ada jadwal tapi cek lewat aplikasi malah ga ada jadwal,tidak jelas cek tiket lewat web ada jadwal tapi cek lewat aplikasi malah tidak ada jadwal,tidak cek tiket web jadwal cek aplikasi tidak jadwal,tidak cek tiket web jadwal cek aplikasi tidak jadwal
2026-03-15 11:29:32,"apk KAI ketika arus mudik lebaran kenapa selalu error yaaa ?? saran untuk developer tolong cepat di perbaiki dong, saya sebagai customer setia KAI merasa kesulitan menggunakan apk kalau begini..",1,apk kai ketika arus mudik lebaran kenapa selalu error yaaa saran untuk developer tolong cepat di perbaiki dong saya sebagai customer setia kai merasa kesulitan menggunakan apk kalau begini,aplikasi kai ketika arus mudik lebaran kenapa selalu error yaaa saran untuk developer tolong cepat di perbaiki dong saya sebagai customer setia kai merasa kesulitan menggunakan aplikasi kalau begini,aplikasi kai arus mudik lebaran error yaaa saran developer tolong cepat perbaiki customer setia kai kesulitan aplikasi,aplikasi kai arus mudik lebaran error yaaa saran developer tolong cepat baik customer setia kai sulit aplikasi
2026-03-15 11:13:05,sangat baik pelayanan,0,sangat baik pelayanan,sangat baik pelayanan,pelayanan,layan
2026-03-15 09:29:50,aku lupa password akunku sdh aku klik lupa password tetap nggk bsia,0,aku lupa password akunku sdh aku klik lupa password tetap nggk bsia,aku lupa password akunku sudah aku klik lupa password tetap nggk bsia,lupa password akunku klik lupa password nggk bsia,lupa password akun klik lupa password nggk bsia
2026-03-15 06:02:04,ganggu bet mau pesan tiket banyak pop up yg muncul,0,ganggu bet mau pesan tiket banyak pop up yg muncul,ganggu bet mau pesan tiket banyak pop up yang muncul,ganggu bet pesan tiket pop up muncul,ganggu bet pesan tiket pop up muncul
2026-03-15 05:31:57,kenapa refund tiket harus ke bank BRI sedang kan saya hanya punya mandiri terus kalo bukan bank tidak bisa diproses dan itu pun harus 1 KK coba klo dalam 1 KK tidak ada yg punya bank BRI bagaimana di perbaiki lagi sistem nya,1,kenapa refund tiket harus ke bank bri sedang kan saya hanya punya mandiri terus kalo bukan bank tidak bisa diproses dan itu pun harus kk coba klo dalam kk tidak ada yg punya bank bri bagaimana di perbaiki lagi sistem nya,kenapa refund tiket harus ke bank bri sedang kan saya hanya punya mandiri terus kalau bukan bank tidak bisa diproses dan itu pun harus kk coba kalau dalam kk tidak ada yang punya bank bri bagaimana di perbaiki lagi sistem nya,refund tiket bank bri mandiri bukan bank tidak bisa diproses kk coba kk tidak bank bri perbaiki sistem,refund tiket bank bri mandiri bukan bank tidak bisa proses kk coba kk tidak bank bri baik sistem
2026-03-15 04:24:27,aplikasi enak gk ribet,0,aplikasi enak gk ribet,aplikasi enak tidak ribet,aplikasi enak tidak ribet,aplikasi enak tidak ribet
2026-03-15 02:04:30,"aplikasi gk guna,,muter muter mulu,,hapus aja dah",1,aplikasi gk guna muter muter mulu hapus aja dah,aplikasi tidak guna muter muter terus hapus saja dah,aplikasi tidak muter muter hapus dah,aplikasi tidak muter muter hapus dah
